dataset,level,mae_point,mae_ci_low,mae_ci_high,n,n_bootstrap
bus39,oracle,0.0181944837217315,0.018088492287757413,0.01830546250704338,1044388,1000
bus39,generator_only_selection,0.018989937355959788,0.018881819681002027,0.019103163612987497,1044793,1000
bus39,generator_only_screening_min,0.02043226949635566,0.02032570282742453,0.020537434963714327,1044793,1000
bus39,fully_deoracled_selection,0.1312353485309238,0.1305248449605706,0.13195037928667627,1044797,1000
bus39,fully_deoracled_screening_min,0.21181657449250232,0.2114272169291215,0.21218941616204942,1044797,1000
eles/2026-06,oracle,0.04294759532521695,0.04183949974596208,0.04412168359596534,205433,1000
eles/2026-06,generator_only_selection,0.04974703075122927,0.048430172598572706,0.051094383798056725,237168,1000
eles/2026-06,generator_only_screening_min,0.05920502697809147,0.05765163379674943,0.060778415308402306,237168,1000
eles/2026-06,fully_deoracled_selection,0.15942524347116457,0.15637565417277483,0.1627171850106255,241779,1000
eles/2026-06,fully_deoracled_screening_min,0.22859519437809736,0.2266239497655411,0.23064396636681453,241779,1000
