metric,coverage,quantity,point_estimate,ci_low,ci_high,n_bootstrap,metric_set,tie_policy,n_records,n_states,n_selected_covered_records,n_selected_covered_states,n_available,availability_rate
location_weight_mass,,nAURC(MAE),0.9090606022294592,0.9062724525859637,0.912052926121453,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
location_weight_mass,1.0,mae,0.018988257266140927,0.018881335861759555,0.01909768651715328,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
location_weight_mass,0.95,mae,0.01784747994813476,0.017749104564096008,0.01795664007923895,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
location_weight_mass,0.9,mae,0.017698959884385967,0.017593193793560932,0.017806362076144767,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
location_weight_mass,0.8,mae,0.01729822362801458,0.01719920545086201,0.017401873618994767,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
location_weight_mass,0.7,mae,0.016628351629045204,0.016527314478992694,0.016733292151046436,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
location_weight_mass,0.5,mae,0.01711881342394637,0.01700781507249289,0.017230951863649084,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
n_eff,,nAURC(MAE),0.9572314669951275,0.9543917318090355,0.9597247179740457,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
n_eff,1.0,mae,0.018988257266140954,0.018881335861759538,0.01909768651715365,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
n_eff,0.95,mae,0.018823691166532,0.01871482299551088,0.018932114300846965,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
n_eff,0.9,mae,0.018621057168494118,0.018512469969193358,0.018734513544222828,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
n_eff,0.8,mae,0.01822699871666994,0.01811320146560268,0.018343953914317312,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
n_eff,0.7,mae,0.017917493180747434,0.01779457331736782,0.018039505894442132,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
n_eff,0.5,mae,0.01764629858283519,0.01751469893883033,0.01777720386536693,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
n_eff_fraction,,nAURC(MAE),1.0347393451609126,1.0319447802596045,1.0375757708842042,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
n_eff_fraction,1.0,mae,0.018988257266140934,0.01888133586175936,0.019097686517153618,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
n_eff_fraction,0.95,mae,0.019121793519240163,0.01901545967778476,0.019232701966353977,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
n_eff_fraction,0.9,mae,0.019262504286140285,0.019148651184832142,0.019376713828887723,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
n_eff_fraction,0.8,mae,0.01951883095980736,0.01939431611889768,0.01963647329196882,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
n_eff_fraction,0.7,mae,0.019795640700532392,0.01967041956025177,0.01991804212819789,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
n_eff_fraction,0.5,mae,0.020276790424672494,0.02013373224747719,0.020416238016645143,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
n_neighbors,,nAURC(MAE),0.9054405972375571,0.9034937913250805,0.9073579294160383,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
n_neighbors,1.0,mae,0.018988257266140885,0.018881335861759316,0.019097686517153347,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
n_neighbors,0.95,mae,0.018373248847881662,0.018263827114303043,0.018483727783096954,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
n_neighbors,0.9,mae,0.01799333619632069,0.01788505815035914,0.018102178062071744,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
