group,n_states,span_days,bursts_6h,bursts_12h,bursts_24h,bursts_48h,bursts_72h
1253,38,3.1666666666666665,4,1,1,1,1
513,36,3.0,3,2,1,1,1
220,27,1.9166666666666667,3,1,1,1,1
1254,24,3.0,4,4,1,1,1
1468,23,1.75,2,2,1,1,1
1460,22,1.125,1,1,1,1,1
1370,22,2.0,3,2,1,1,1
1641,21,1.25,2,1,1,1,1
366,20,2.4166666666666665,3,2,1,1,1
414,20,1.4166666666666667,2,2,1,1,1
480,19,1.0833333333333333,1,1,1,1,1
430,18,1.4583333333333333,2,2,1,1,1
437,17,0.6666666666666666,1,1,1,1,1
478,16,0.625,1,1,1,1,1
1422,15,0.9583333333333334,2,1,1,1,1
559,15,1.0416666666666667,2,1,1,1,1
507,15,0.5833333333333334,1,1,1,1,1
1467,14,3.0,3,2,2,1,1
284,14,2.0833333333333335,3,3,1,1,1
883,14,0.5416666666666666,1,1,1,1,1
1288,13,0.5,1,1,1,1,1
321,13,0.5,1,1,1,1,1
176,13,0.5416666666666666,1,1,1,1,1
90,13,1.25,2,2,1,1,1
389,13,0.5,1,1,1,1,1
249,13,0.5,1,1,1,1,1
339,12,0.9583333333333334,2,1,1,1,1
83,12,0.5,1,1,1,1,1
315,12,0.5,1,1,1,1,1
1431,12,0.4583333333333333,1,1,1,1,1
1349,12,1.25,2,2,1,1,1
1646,11,0.5,1,1,1,1,1
1224,11,1.1666666666666667,2,2,1,1,1
1305,11,0.8333333333333334,2,1,1,1,1
1594,11,0.7916666666666666,2,1,1,1,1
1554,11,0.4166666666666667,1,1,1,1,1
1472,11,0.5,1,1,1,1,1
185,11,0.4166666666666667,1,1,1,1,1
0,11,15.166666666666666,3,3,2,2,2
440,11,0.4583333333333333,1,1,1,1,1
433,11,0.4166666666666667,1,1,1,1,1
728,11,0.4583333333333333,1,1,1,1,1
572,11,0.5833333333333334,1,1,1,1,1
803,11,0.5,1,1,1,1,1
1425,10,0.375,1,1,1,1,1
835,10,0.375,1,1,1,1,1
892,10,0.375,1,1,1,1,1
708,10,0.375,1,1,1,1,1
521,10,0.375,1,1,1,1,1
481,10,0.5416666666666666,1,1,1,1,1
238,10,0.4583333333333333,1,1,1,1,1
