panel,stratum,hamming_lo,hamming_hi,n_pairs_available,n_pairs_sampled,n_pairs_sharing_contingency,n_matched_contingencies,mean_abs_dcct,median_abs_dcct,mean_feature_distance,mean_abs_dcct_refused,mean_feature_distance_refused,refused_over_admitted,n_admitted_contingencies,n_refused_contingencies,excess_over_admitted
all pairs,"0 (same group, admitted)",0.0,0,11230.0,4000.0,4000.0,140552,0.058646337298651034,0.019999999999999962,45.25379155624489,,,,,,0.0
all pairs,1,1.0,1,14500.0,4000.0,4000.0,122891,0.07644847873318632,0.02999999999999997,57.63244036621039,,,,,,0.30355078005774727
all pairs,2,2.0,2,18975.0,4000.0,4000.0,115595,0.08341390198537998,0.030000000000000027,63.020218155576806,,,,,,0.42232074205422965
all pairs,3-5,3.0,5,100148.0,4000.0,4000.0,107172,0.0894909118053223,0.03999999999999998,71.30884681304856,,,,,,0.5259420439097182
all pairs,6-10,6.0,10,460696.0,4000.0,3998.0,94464,0.10002403031842817,0.04999999999999999,80.20032764143414,,,,,,0.7055460737311705
all pairs,11-20,11.0,20,3975184.0,4000.0,4000.0,80444,0.10875752075978322,0.06,92.88862068738108,,,,,,0.8544639916035273
all pairs,>20,21.0,,5066295.0,4000.0,3999.0,75092,0.11710275395514834,0.06,107.71850227353315,,,,,,0.9967615941437813
commitment identical,"0 (same group, admitted)",0.0,0,130.0,130.0,130.0,6610,0.020546142208774584,0.010000000000000009,26.762463514094275,,,,,,0.0
commitment identical,1,1.0,1,45.0,45.0,45.0,2172,0.01919429097605893,0.010000000000000009,33.46446881285469,,,,,,-0.06579586663905801
commitment identical,2,2.0,2,25.0,25.0,25.0,1058,0.03626654064272212,0.010000000000000009,46.00230818209441,,,,,,0.7651265271216641
commitment identical,3-5,3.0,5,61.0,61.0,61.0,2761,0.03285766026801883,0.010000000000000009,48.964079922154866,,,,,,0.5992131240085743
commitment identical,6-10,6.0,10,51.0,51.0,51.0,2148,0.04023277467411546,0.020000000000000018,57.722787542716084,,,,,,0.9581668551351386
commitment identical,11-20,11.0,20,94.0,94.0,94.0,3896,0.04142710472279261,0.020000000000000018,80.2469779784185,,,,,,1.0162960180963045
commitment identical,>20,21.0,,2.0,2.0,2.0,95,0.03726315789473683,0.02999999999999997,106.18711563913446,,,,,,0.8136328229453682
feature-distance matched,band 1/5,,,,,,98191,0.02776827236582549,,24.31193733215332,0.02923295454545455,25.770536422729492,1.0527466080832473,97839.0,352.0,
feature-distance matched,band 2/5,,,,,,84900,0.048119323538889355,,36.28582000732422,0.04665166516651665,37.563053131103516,0.9694996050560319,83789.0,1111.0,
feature-distance matched,band 3/5,,,,,,82573,0.06149308587589767,,46.880859375,0.06452104002736915,47.919185638427734,1.0492405627127308,76727.0,5846.0,
feature-distance matched,band 4/5,,,,,,104037,0.075955553019713,,58.2015266418457,0.07610208953464384,60.1702995300293,1.001929240313645,70106.0,33931.0,
feature-distance matched,band 5/5,,,,,,1207884,0.09894586366235492,,77.5654525756836,0.11307589288447896,101.67527770996094,1.1428056585603383,64707.0,1143177.0,
