dataset,model,population,n,coverage,max_features,mae,rmse,ae_q50,ae_q95,ae_q99,ae_q100,fold_mae_mean,fold_mae_std
BUS39,retrieval_highest_support,common_retrieval_covered,1044792,0.9999952143813583,not applicable,0.019186025388994686,0.03114478840217227,0.013122745454549126,0.05430452616661357,0.12024218210314841,0.8011255094374474,0.01918602542183883,0.0001425930730891848
BUS39,extra_trees@1.0,common_retrieval_covered,1044792,0.9999952143813583,1.0,0.004923198165026273,0.009801012935894436,0.0029000000000004578,0.015477777777777105,0.038205555555555604,0.5357932756132735,0.0049231981915741855,2.185213662310483e-05
BUS39,extra_trees@sqrt,common_retrieval_covered,1044792,0.9999952143813583,sqrt,0.01877411067055565,0.02811402634297172,0.014625476059315773,0.04712862561666951,0.09539707847943807,0.724340338387103,0.01877411086110265,0.0001191079267822585
BUS39,random_forest@1.0,common_retrieval_covered,1044792,0.9999952143813583,1.0,0.00499098398820823,0.010001891799372787,0.002830908628407569,0.01591072619047683,0.03776529894179887,0.5554018502358213,0.004990984015392555,2.7848939423275646e-05
BUS39,random_forest@sqrt,common_retrieval_covered,1044792,0.9999952143813583,sqrt,0.02147397198505875,0.03042840505429722,0.017834044336193233,0.049598106934950294,0.09767260635517233,0.7697231157938313,0.021473971792264172,0.00010807906962230566
BUS39,hist_gradient_boosting,common_retrieval_covered,1044792,0.9999952143813583,not applicable,0.015662616370339694,0.030132300869202717,0.009952464987061926,0.04398596248571808,0.10994757399011201,0.9832488389741112,0.015662616297939726,0.0001989507643991032
BUS39,location_median,common_retrieval_covered,1044792,0.9999952143813583,not applicable,0.11084981508281073,0.1608760676998582,0.08000000000000002,0.29999999999999993,0.5900000000000001,1.71,0.11084981324348948,0.0006158345786880008
BUS39,extra_trees@1.0,all_records,1044797,1.0,1.0,0.0049236551752378874,0.009804988208363577,0.0029000000000004578,0.015477777777777391,0.03821111111111111,0.5357932756132735,0.004923655157216236,2.215249455785569e-05
BUS39,extra_trees@sqrt,all_records,1044797,1.0,sqrt,0.018775622314455342,0.028129550519832906,0.014625526931451194,0.047129214952617536,0.0954090119585797,0.724340338387103,0.018775622461497034,0.00011862293522218339
BUS39,random_forest@1.0,all_records,1044797,1.0,1.0,0.004991454194932271,0.01000567418902397,0.0028310317460318313,0.015911198412698165,0.03777005079365119,0.5554018502358213,0.004991454162715053,2.8199296197978595e-05
BUS39,random_forest@sqrt,all_records,1044797,1.0,sqrt,0.021475356151671118,0.030440169777318532,0.017834180617515183,0.04959862122626509,0.09770463453646612,0.7697231157938313,0.021475356019372328,0.00010786841581904615
BUS39,hist_gradient_boosting,all_records,1044797,1.0,not applicable,0.01566450964034143,0.03015268534007756,0.009952515687679575,0.043988753831881,0.10996698137933836,0.9832488389741112,0.015664509318689436,0.00019993017742119597
BUS39,location_median,all_records,1044797,1.0,not applicable,0.11085204111420688,0.16088184389830024,0.08000000000000002,0.29999999999999993,0.5900000000000001,1.71,0.1108520403929046,0.0006147519009498996
ELES,retrieval_highest_support,common_retrieval_covered,230511,0.7140476360110649,not applicable,0.05087428673782871,0.12033034073857882,0.010000000000328801,0.2295415998819598,0.5900000026730463,1.62,0.05088666496221459,0.0011647803823122186
ELES,extra_trees@sqrt,common_retrieval_covered,230511,0.7140476360110649,sqrt,0.10214233348162714,0.15320131181973193,0.07334890179031284,0.2843361844123422,0.6262477491101794,1.4655599948710667,0.10214989195578099,0.0014363309168578696
ELES,random_forest@sqrt,common_retrieval_covered,230511,0.7140476360110649,sqrt,0.10397351441767842,0.15582392175364745,0.07458802057202685,0.2895756926703149,0.6362170263035154,1.4553054030200687,0.10398059513088162,0.0014136338892700975
ELES,hist_gradient_boosting,common_retrieval_covered,230511,0.7140476360110649,not applicable,0.055127162959349586,0.11781610708689821,0.022732990126253433,0.2132669575605915,0.585199469264692,1.4692484307591598,0.055133849025277216,0.0013190353512879335
ELES,location_median,common_retrieval_covered,230511,0.7140476360110649,not applicable,0.09087607532829237,0.15790380051844052,0.04999999999999999,0.31999999999999995,0.7000000000000001,1.57,0.09088443217742921,0.0016003614331627407
ELES,extra_trees@sqrt,all_records,322823,1.0,sqrt,0.10311293448184178,0.15581954060751155,0.07342556987091459,0.29006964821673253,0.6422515153595544,1.50690199441418,0.10311289415932894,0.0010513487178321888
ELES,random_forest@sqrt,all_records,322823,1.0,sqrt,0.10488737536609942,0.15833172419699257,0.07459419520608762,0.29587491303408947,0.6505967951716185,1.5113716449565224,0.10488732820560884,0.0010741444342402089
ELES,hist_gradient_boosting,all_records,322823,1.0,not applicable,0.05607153787163009,0.12020258835870144,0.022903120431266133,0.219399954471594,0.596616062533139,1.5380714494276155,0.05607150121110166,0.0008748698656559663
ELES,location_median,all_records,322823,1.0,not applicable,0.091445064323174,0.15966817686335663,0.04999999999999999,0.32000000000000006,0.71,1.57,0.09144503047089389,0.0010334832728036041
