dataset,metric,population,n_records,n_states,n_selected_covered,availability_rate,n_bootstrap,tie_policy,seed,coverage,quantity,point_estimate,ci_low,ci_high
bus39,n_neighbors,table3_common,1044761,21783,1044793,0.9999693719234336,1000,fractional,42,,nAURC(MAE),0.9054385290958605,0.9034949056797892,0.9073565902949907
bus39,n_neighbors,table3_common,1044761,21783,1044793,0.9999693719234336,1000,fractional,42,1.0,mae,0.018988930118893507,,
bus39,n_neighbors,table3_common,1044761,21783,1044793,0.9999693719234336,1000,fractional,42,0.95,mae,0.018373915488187106,,
bus39,n_neighbors,table3_common,1044761,21783,1044793,0.9999693719234336,1000,fractional,42,0.9,mae,0.017993238584828933,,
bus39,n_neighbors,table3_common,1044761,21783,1044793,0.9999693719234336,1000,fractional,42,0.8,mae,0.017022560085421294,,
bus39,n_neighbors,table3_common,1044761,21783,1044793,0.9999693719234336,1000,fractional,42,0.7,mae,0.01660594619276607,,
bus39,n_neighbors,table3_common,1044761,21783,1044793,0.9999693719234336,1000,fractional,42,0.5,mae,0.01660594619276607,,
bus39,n_neighbors,own_support,1044793,21783,1044793,1.0,1000,fractional,42,,nAURC(MAE),0.9053981501391236,0.9034504885351108,0.9073038343720938
bus39,n_neighbors,own_support,1044793,21783,1044793,1.0,1000,fractional,42,1.0,mae,0.01898993735595979,,
bus39,n_neighbors,own_support,1044793,21783,1044793,1.0,1000,fractional,42,0.95,mae,0.01837417657107687,,
bus39,n_neighbors,own_support,1044793,21783,1044793,1.0,1000,fractional,42,0.9,mae,0.017993510254882914,,
bus39,n_neighbors,own_support,1044793,21783,1044793,1.0,1000,fractional,42,0.8,mae,0.01702269996911344,,
bus39,n_neighbors,own_support,1044793,21783,1044793,1.0,1000,fractional,42,0.7,mae,0.01660594619276607,,
bus39,n_neighbors,own_support,1044793,21783,1044793,1.0,1000,fractional,42,0.5,mae,0.01660594619276607,,
bus39,n_unique_states,table3_common,1044761,21783,1044793,0.9999693719234336,1000,fractional,42,,nAURC(MAE),0.9054385290958605,0.9034949056797892,0.9073565902949907
bus39,n_unique_states,table3_common,1044761,21783,1044793,0.9999693719234336,1000,fractional,42,1.0,mae,0.018988930118893507,,
bus39,n_unique_states,table3_common,1044761,21783,1044793,0.9999693719234336,1000,fractional,42,0.95,mae,0.018373915488187106,,
bus39,n_unique_states,table3_common,1044761,21783,1044793,0.9999693719234336,1000,fractional,42,0.9,mae,0.017993238584828933,,
bus39,n_unique_states,table3_common,1044761,21783,1044793,0.9999693719234336,1000,fractional,42,0.8,mae,0.017022560085421294,,
bus39,n_unique_states,table3_common,1044761,21783,1044793,0.9999693719234336,1000,fractional,42,0.7,mae,0.01660594619276607,,
bus39,n_unique_states,table3_common,1044761,21783,1044793,0.9999693719234336,1000,fractional,42,0.5,mae,0.01660594619276607,,
bus39,n_unique_states,own_support,1044793,21783,1044793,1.0,1000,fractional,42,,nAURC(MAE),0.9053981501391236,0.9034504885351108,0.9073038343720938
bus39,n_unique_states,own_support,1044793,21783,1044793,1.0,1000,fractional,42,1.0,mae,0.01898993735595979,,
bus39,n_unique_states,own_support,1044793,21783,1044793,1.0,1000,fractional,42,0.95,mae,0.01837417657107687,,
bus39,n_unique_states,own_support,1044793,21783,1044793,1.0,1000,fractional,42,0.9,mae,0.017993510254882914,,
