quantity,value
dataset,bus39
scaled_dimensionality,260
min_slice_members,200
n_query_states_used,300
n_pairs_total,6529800
spearman_distance_vs_abs_dcct_mean,0.8374
spearman_frac_positive,1.0
mean_abs_dcct_nearest_100_s,0.02208
mean_abs_dcct_random_100_s,0.13821
reduction_vs_random_pct,84.02
topo_restricted_k,100
topo_restricted_n_query_used,300
topo_restricted_n_skipped_small_pool,0
topo_restricted_median_pool_size,21766.0
topo_restricted_spearman_distance_vs_abs_dcct_mean,0.8374
topo_restricted_spearman_frac_positive,1.0
topo_restricted_mean_abs_dcct_nearest_100_s,0.02208
topo_restricted_mean_abs_dcct_random_100_s,0.14009
topo_restricted_reduction_vs_random_pct,84.24
index_fidelity_n_query_used,300
index_fidelity_n_skipped_small_pool,0
index_fidelity_mean_recall_at_k,1.0
index_fidelity_min_recall_at_k,1.0
index_fidelity_k,100
