quantity,value
dataset,eles/2026-01
scaled_dimensionality,12524
min_slice_members,200
n_query_states_used,292
n_pairs_total,417255
spearman_distance_vs_abs_dcct_mean,0.1365
spearman_frac_positive,0.8151
mean_abs_dcct_nearest_100_s,0.08786
mean_abs_dcct_random_100_s,0.11874
reduction_vs_random_pct,26.0
topo_restricted_k,5
topo_restricted_n_query_used,300
topo_restricted_n_skipped_small_pool,0
topo_restricted_median_pool_size,1359.5
topo_restricted_spearman_distance_vs_abs_dcct_mean,0.1374
topo_restricted_spearman_frac_positive,0.8167
topo_restricted_mean_abs_dcct_nearest_5_s,0.05689
topo_restricted_mean_abs_dcct_random_5_s,0.11933
topo_restricted_reduction_vs_random_pct,52.33
index_fidelity_n_query_used,300
index_fidelity_n_skipped_small_pool,0
index_fidelity_mean_recall_at_k,0.998
index_fidelity_min_recall_at_k,0.8
index_fidelity_k,5
