metric,coverage,n,mae,rmse,q90,q95
location_weight_mass,1.0,12961,0.03941018696080849,0.09380873374596753,0.10998790997589902,0.17999999999318
location_weight_mass,0.95,12313,0.03717863124225801,0.08858494582177867,0.10000000000000003,0.1704949629444634
location_weight_mass,0.9,11665,0.03701419660571592,0.08765184045259414,0.10000000000000003,0.17033631767175306
location_weight_mass,0.8,10369,0.035955619696141645,0.08726070551342524,0.09999947691964164,0.16999999999999998
location_weight_mass,0.7,9073,0.033785289258258924,0.08239138376912604,0.09000000000000002,0.15999999999999998
location_weight_mass,0.5,6481,0.03700306792349057,0.09056541602211081,0.10000000000000003,0.1799983037841448
n_eff,1.0,12961,0.03941018696080849,0.09380873374596753,0.10998790997589902,0.17999999999318
n_eff,0.95,12313,0.03803179023788182,0.08932965373925124,0.10060808451443311,0.17832816926010786
n_eff,0.9,11665,0.03758040576074057,0.0881773423415565,0.10000479371710219,0.17093577617657252
n_eff,0.8,10369,0.03569827690221225,0.08558063177794716,0.09922825636337683,0.16091139123480075
n_eff,0.7,9073,0.03544422273649265,0.0852008071481932,0.09532014673554859,0.16725976664788414
n_eff,0.5,6481,0.0350287466898049,0.0837095138025388,0.09804031428628018,0.17093577617657252
n_neighbors,1.0,12961,0.03941018696080849,0.09380873374596753,0.10998790997589902,0.17999999999318
n_neighbors,0.95,12313,0.03842324642240224,0.09240196834735281,0.10060808451443311,0.1784205135462637
n_neighbors,0.9,11665,0.03809819401620564,0.09110909593966447,0.10000447117892172,0.17790201319915405
n_neighbors,0.8,10369,0.0356359443844526,0.08496859658556194,0.09996429310517518,0.1674437355427534
n_neighbors,0.7,9073,0.034821182464784106,0.0831161603418686,0.09014622288373841,0.15999999999999998
n_neighbors,0.5,6481,0.03262555985856089,0.07837101004263829,0.08999999683450371,0.15999842654517127
neighborhood_compactness,1.0,10601,0.035837697688806604,0.0858529057251075,0.09997276349436501,0.16565814814342533
neighborhood_compactness,0.95,10071,0.03537363820024164,0.08454005393155305,0.09732072012601428,0.1606280073094649
neighborhood_compactness,0.9,9541,0.03438942927390352,0.08301116012351988,0.0900000874335592,0.15999842654517127
neighborhood_compactness,0.8,8481,0.03273665569368856,0.08071961450470204,0.08999083187163345,0.15000000806962732
neighborhood_compactness,0.7,7421,0.03310154270808507,0.08084499721863861,0.08999999999999997,0.15376585569993012
neighborhood_compactness,0.5,5301,0.0345519169670241,0.08345794341766981,0.09996426493275623,0.16999993625888665
cct_weighted_std,1.0,10601,0.035837697688806604,0.0858529057251075,0.09997276349436501,0.16565814814342533
cct_weighted_std,0.95,10071,0.031696186023371695,0.07820707420006338,0.080028148760943,0.14
cct_weighted_std,0.9,9541,0.03059445255942029,0.0766637522207262,0.08000000000000002,0.13999980555065544
cct_weighted_std,0.8,8481,0.029414190517216974,0.07377527955147144,0.0799999999999999,0.13000000000000006
cct_weighted_std,0.7,7421,0.028143017298054282,0.07008607880544132,0.07999999999956525,0.12999994981201024
cct_weighted_std,0.5,5301,0.02640068656720459,0.06892044806482767,0.07000021057495359,0.12000000000000005
distance_min,1.0,12961,0.03941018696080849,0.09380873374596753,0.10998790997589902,0.17999999999318
distance_min,0.95,12313,0.038637485185989584,0.09180609685779378,0.10709189046444881,0.17984716189361036
distance_min,0.9,11665,0.036723287098748954,0.08827109317661583,0.09999999999999998,0.16999999999999998
distance_min,0.8,10369,0.03432480608404108,0.08494310959539797,0.09000153184479019,0.15999999999999998
distance_min,0.7,9073,0.0316565896572275,0.08038533098353347,0.08000612369038444,0.14000000362182935
distance_min,0.5,6481,0.02800947941531421,0.0758069982157854,0.06999999999999995,0.12999995696288746
distance_mean,1.0,12961,0.03941018696080849,0.09380873374596753,0.10998790997589902,0.17999999999318
distance_mean,0.95,12313,0.03886157135980776,0.09209795164221152,0.10984706943947717,0.17999959595155646
distance_mean,0.9,11665,0.03850364845848359,0.09232544013850003,0.1057708501533522,0.1753587316950837
