metric,coverage,n,mae,rmse,q90,q95
location_weight_mass,1.0,13856,0.04170637322718507,0.09867682918692554,0.11997479759511981,0.18999999999999995
location_weight_mass,0.95,13164,0.04029064131408611,0.09664274074637517,0.11006099060705567,0.1828245186827377
location_weight_mass,0.9,12471,0.04043692842727196,0.09671967730427307,0.11513230456396628,0.18974114637054496
location_weight_mass,0.8,11085,0.03905763675867896,0.09498734429334009,0.11466728753276302,0.18724865560434673
location_weight_mass,0.7,9700,0.037865848438083764,0.0941449151562731,0.10999999999999999,0.17999999999994684
location_weight_mass,0.5,6928,0.03839626373286435,0.09308661796013537,0.10999999999999999,0.18000000750321318
n_eff,1.0,13856,0.04170637322718507,0.09867682918692554,0.11997479759511981,0.18999999999999995
n_eff,0.95,13164,0.04122557789698239,0.09759691902974423,0.11955430603108641,0.18853892752958792
n_eff,0.9,12471,0.04088312945520617,0.09773392186107752,0.1116990972395222,0.18005195682680053
n_eff,0.8,11085,0.03801926093242004,0.09315803881174463,0.1099998841127397,0.17000000000000004
n_eff,0.7,9700,0.03592819664036012,0.08916976041783028,0.10943502205081715,0.1699992874131679
n_eff,0.5,6928,0.034898547758702034,0.08580350246382266,0.10941113376555091,0.167742774502407
n_neighbors,1.0,13856,0.04170637322718507,0.09867682918692554,0.11997479759511981,0.18999999999999995
n_neighbors,0.95,13164,0.03989999296838925,0.09473615100011516,0.11000000354327266,0.17999999999999994
n_neighbors,0.9,12471,0.03888569540821716,0.09363972293764879,0.10999999999999999,0.17997348595297658
n_neighbors,0.8,11085,0.037061209511581074,0.09096172762287556,0.10998870804004757,0.16999999999999998
n_neighbors,0.7,9700,0.03473036508971439,0.08701767531012106,0.1,0.161436817639623
n_neighbors,0.5,6928,0.03210958558612658,0.08346632089700713,0.08999972123247729,0.16000309722993633
neighborhood_compactness,1.0,10959,0.03687138492890558,0.09086910306685965,0.10982127130106534,0.16999999999992452
neighborhood_compactness,0.95,10412,0.035794214892980174,0.08832913007187049,0.1019471011080551,0.1697916850107497
neighborhood_compactness,0.9,9864,0.03407635641107671,0.08558432413438528,0.09995726968275294,0.16000027383089319
neighborhood_compactness,0.8,8768,0.03297381022296841,0.08403886137131855,0.09305769857123873,0.1599989023701474
neighborhood_compactness,0.7,7672,0.03212817993015452,0.08067016066829125,0.09403288523169867,0.1597896789949583
neighborhood_compactness,0.5,5480,0.03157470358003066,0.0788228939103364,0.09999810253420204,0.15897660304454891
cct_weighted_std,1.0,10959,0.03687138492890558,0.09086910306685965,0.10982127130106534,0.16999999999992452
cct_weighted_std,0.95,10412,0.033437115274822946,0.08425508022969698,0.09001831407618671,0.1599999719710948
cct_weighted_std,0.9,9864,0.03218701631629772,0.08175125992322665,0.08999999999999997,0.15000000000000008
cct_weighted_std,0.8,8768,0.031496064614436346,0.08088324374203518,0.08999972123247729,0.15000000000000002
cct_weighted_std,0.7,7672,0.03075249745004466,0.0813876524356216,0.08000154933012844,0.14999999999999997
cct_weighted_std,0.5,5480,0.028866790943970246,0.07700803352471464,0.08000000000000007,0.14999999936261454
distance_min,1.0,13856,0.04170637322718505,0.09867682918692554,0.11997479759511981,0.18999999999999995
distance_min,0.95,13164,0.03979015112017035,0.09595747923652075,0.11000000307083646,0.17999999999999994
distance_min,0.9,12471,0.038186108110567614,0.09328753571467029,0.10999999999999999,0.1792408264447445
distance_min,0.8,11085,0.03160867042350675,0.07923960773226844,0.08999999960713898,0.14993869383003944
distance_min,0.7,9700,0.028210686148931352,0.07302830856092365,0.07999999975985045,0.13
distance_min,0.5,6928,0.021389879967049708,0.061820732688120966,0.04999999999999999,0.10878355551477764
distance_mean,1.0,13856,0.04170637322718507,0.09867682918692555,0.11997479759511981,0.18999999999999995
distance_mean,0.95,13164,0.03987903747599091,0.09594897253551714,0.11000000000000004,0.17999999999999994
distance_mean,0.9,12471,0.03909252240256704,0.09404494207768137,0.11000000000000004,0.17997348595297658
distance_mean,0.8,11085,0.03682379326968639,0.09135483207906442,0.10184464445207225,0.16999999999999998
distance_mean,0.7,9700,0.03294027456175886,0.08176723062929188,0.09000000000000002,0.15000000000000008
distance_mean,0.5,6928,0.028028261236590142,0.07176748842669683,0.07999999999999996,0.1300013497659025
distance_median,1.0,13856,0.04170637322718505,0.09867682918692555,0.11997479759511981,0.18999999999999995
distance_median,0.95,13164,0.039990409503467175,0.0960220841511393,0.11000000570951553,0.18
distance_median,0.9,12471,0.03913416082239633,0.09421065019326687,0.11000000000000001,0.17999994879418496
distance_median,0.8,11085,0.03687970704555301,0.09062225003114811,0.10944605438141866,0.16999999999999998
distance_median,0.7,9700,0.03308915436775717,0.08266464053402357,0.09000000000000008,0.15000000000000008
distance_median,0.5,6928,0.02798487887314975,0.0716845280680514,0.07999999999999996,0.134168908575058
distance_spread,1.0,13856,0.04170637322718507,0.09867682918692555,0.11997479759511981,0.18999999999999995
distance_spread,0.95,13164,0.04255637781717528,0.09984890938926133,0.11999999999999994,0.19
distance_spread,0.9,12471,0.04318987986303749,0.10074369776706668,0.12,0.19563255372219102
distance_spread,0.8,11085,0.04468365340145382,0.10299927222232676,0.12000305640905123,0.19997786067542303
distance_spread,0.7,9700,0.0470677058971578,0.10640926157082474,0.13,0.20999999551261622
distance_spread,0.5,6928,0.04929449696075489,0.10809894447173615,0.13000080707881118,0.21999999999999997
distance_norm,1.0,13856,0.04170637322718507,0.09867682918692555,0.11997479759511981,0.18999999999999995
distance_norm,0.95,13164,0.040173948607747145,0.09643163753674563,0.1118143485649894,0.1800010461268325
distance_norm,0.9,12471,0.03678461280437432,0.0906034437718272,0.10223513824619335,0.16999976174501957
distance_norm,0.8,11085,0.03512380824582038,0.08843955758377196,0.09999999993096087,0.16105675833885513
distance_norm,0.7,9700,0.033915078946183265,0.08696504467310769,0.09912302106410417,0.15999999999999998
distance_norm,0.5,6928,0.030850844829849147,0.08067820674264303,0.08000016513720545,0.14999999999998176
