metric,coverage,n,mae,rmse,q90,q95
location_weight_mass,1.0,205433,0.04294759532521695,0.10369380090782443,0.11682877225853056,0.19917036392913962
location_weight_mass,0.95,195162,0.04073895851703827,0.0997188257873849,0.10999999999999999,0.18954106300619009
location_weight_mass,0.9,184890,0.04050399194769886,0.09944520023107997,0.10999999999999999,0.18962324635106434
location_weight_mass,0.8,164347,0.04000293540305239,0.09969680634246877,0.10999999999979214,0.18999407918839092
location_weight_mass,0.7,143804,0.03845854817745834,0.09716408089676756,0.10246898475286481,0.17999999990550333
location_weight_mass,0.5,102717,0.04151261245484568,0.10420570926770338,0.11281100702607388,0.19999999999999996
n_eff,1.0,205433,0.04294759532521695,0.10369380090782443,0.11682877225853056,0.19917036392913962
n_eff,0.95,195162,0.043225850065306215,0.10455370066642497,0.11876820832255502,0.19997336395542728
n_eff,0.9,184890,0.04265500216585696,0.10437805526285375,0.11062397797390948,0.1902611655963573
n_eff,0.8,164347,0.039870842488425665,0.09807204893083836,0.1099837527334034,0.18
n_eff,0.7,143804,0.03874595526361636,0.09668374637677232,0.10363210606789543,0.17978796872202457
n_eff,0.5,102717,0.03865416432815874,0.09638798845137707,0.10645783713727268,0.17946379525156136
n_neighbors,1.0,205433,0.04294759532521695,0.10369380090782443,0.11682877225853056,0.19917036392913962
n_neighbors,0.95,195162,0.041363448573212475,0.10018751140486439,0.11000000000000004,0.1899999999999999
n_neighbors,0.9,184890,0.04094192952807233,0.09982289693849672,0.10999999999999999,0.18999443807420274
n_neighbors,0.8,164347,0.03954531175163096,0.09773096989977377,0.10959644046603174,0.17999999999993638
n_neighbors,0.7,143804,0.03858349527419723,0.09511340226822369,0.10579984589005519,0.17978796872202457
n_neighbors,0.5,102717,0.035577445262336596,0.08998759687025697,0.09608849446887785,0.16755761392579147
neighborhood_compactness,1.0,163593,0.039399750297661226,0.09757282482934118,0.10893909609800406,0.1799999966702961
neighborhood_compactness,0.95,155414,0.038681333719392925,0.09604030151753991,0.1031412174288968,0.17962946127639023
neighborhood_compactness,0.9,147234,0.038050460300880544,0.09496073976026878,0.10003226927428882,0.1727221644909733
neighborhood_compactness,0.8,130875,0.03725488901970258,0.09410712568299608,0.1,0.17000005830473686
neighborhood_compactness,0.7,114516,0.036922668739608776,0.09330110333901163,0.10000000000000003,0.17000000000000004
neighborhood_compactness,0.5,81797,0.03834392455257427,0.09721936791444559,0.10914934577996882,0.1799999995980125
cct_weighted_std,1.0,163593,0.039399750297661226,0.09757282482934118,0.10893909609800406,0.1799999966702961
cct_weighted_std,0.95,155414,0.03552398672767592,0.09072153327249775,0.09019263487480124,0.1600000272650651
cct_weighted_std,0.9,147234,0.03405362097405095,0.08891384080933103,0.08999999999999997,0.15999577022802783
cct_weighted_std,0.8,130875,0.03317893334746747,0.08783567937530948,0.08999999915674632,0.15000201140199113
cct_weighted_std,0.7,114516,0.03257744997921828,0.0872402805709667,0.0899999950865758,0.150000000321531
cct_weighted_std,0.5,81797,0.03108745128671747,0.08622048393431811,0.08000000017829074,0.14999999999943286
distance_min,1.0,205433,0.04294759532521695,0.10369380090782443,0.11682877225853056,0.19917036392913962
distance_min,0.95,195162,0.040988273561597635,0.0994298142532172,0.10999999999999999,0.1894910476683093
distance_min,0.9,184890,0.03878514759161386,0.09533422553525854,0.10587577384617665,0.1793578866841218
distance_min,0.8,164347,0.03519303140455451,0.0889376230104421,0.09317501807990536,0.16000000000000003
distance_min,0.7,143804,0.03193794743376252,0.0826265923687442,0.08784165706554747,0.1499362331576247
distance_min,0.5,102717,0.026910306315477583,0.07316090028190539,0.0699999999999999,0.12371526475741028
distance_mean,1.0,205433,0.04294759532521695,0.10369380090782443,0.11682877225853056,0.19917036392913962
distance_mean,0.95,195162,0.04145245084126594,0.10043263356252795,0.10999999999999999,0.1899999999999999
distance_mean,0.9,184890,0.040504897949156675,0.0988687993925754,0.10999999999999999,0.18139351290493777
distance_mean,0.8,164347,0.03811521436349922,0.09448913624722212,0.10001746752573766,0.17001752791867597
distance_mean,0.7,143804,0.03604647475281482,0.0906522659576508,0.09999821542108069,0.16787567486557006
distance_mean,0.5,102717,0.03348538173647065,0.08611927143801087,0.09000000000000002,0.15337952688453027
distance_median,1.0,205433,0.04294759532521695,0.10369380090782443,0.11682877225853056,0.19917036392913962
distance_median,0.95,195162,0.04175239430516983,0.10117369014453191,0.11000000000000004,0.18999999999999995
distance_median,0.9,184890,0.040828582040403336,0.09944188051197156,0.10999999999999999,0.18763156051252167
distance_median,0.8,164347,0.03852591185547281,0.0950736296072852,0.10375083153203855,0.17491261078030584
distance_median,0.7,143804,0.03628151654986928,0.0909389335875535,0.09999999999999473,0.16994673095474636
distance_median,0.5,102717,0.033248746425435065,0.08598710265162948,0.08999999999999997,0.15177335338609008
distance_spread,1.0,205433,0.04294759532521695,0.10369380090782443,0.11682877225853056,0.19917036392913962
distance_spread,0.95,195162,0.04361706868672589,0.1048558297092206,0.11999491195746022,0.19999999999997156
distance_spread,0.9,184890,0.044275660287118206,0.1060330324606268,0.11999999999999994,0.2
distance_spread,0.8,164347,0.045655175269868675,0.1085436192258058,0.12,0.20728004316614176
distance_spread,0.7,143804,0.04733380185897473,0.1114097058745519,0.12970252261425885,0.21000000000011557
distance_spread,0.5,102717,0.050393418727308334,0.11689405466886303,0.1305733492658609,0.22997143675573406
distance_norm,1.0,205433,0.04294759532521694,0.10369380090782443,0.11682877225853056,0.19917036392913962
distance_norm,0.95,195162,0.04077835810186024,0.09933655702070697,0.10999999999999999,0.18818886620066533
distance_norm,0.9,184890,0.03902551749644317,0.09627003727169443,0.10695910651644314,0.1797286414925355
