metric,coverage,n,mae,rmse,q90,q95
location_weight_mass,1.0,22119,0.04541926873239255,0.1059662096659266,0.12000034646337504,0.1999984239305187
location_weight_mass,0.95,21014,0.042836618696262756,0.1008148817300197,0.11883422277500803,0.18999999999999884
location_weight_mass,0.9,19908,0.0403028286182098,0.09556881157988097,0.10999999872665249,0.1799999979761351
location_weight_mass,0.8,17696,0.04006856422951767,0.09517312844843796,0.10999993536113578,0.1800000000000004
location_weight_mass,0.7,15484,0.03817888942421837,0.09304352528047154,0.10001160843731624,0.17093577617657252
location_weight_mass,0.5,11060,0.038694034437612275,0.09612033272214303,0.10706098184273066,0.18632624015540517
n_eff,1.0,22119,0.04541926873239255,0.1059662096659266,0.12000034646337504,0.1999984239305187
n_eff,0.95,21014,0.04481340083238749,0.10442231161108251,0.11999999994460521,0.19979562334812295
n_eff,0.9,19908,0.04429469585569095,0.10258619791508783,0.11999932919214379,0.19882909228986953
n_eff,0.8,17696,0.04394263220957314,0.10198788896138004,0.11991945219688055,0.19696654545344972
n_eff,0.7,15484,0.04507487349305904,0.10410206020927665,0.12108599630634549,0.19996333923367374
n_eff,0.5,11060,0.04551181509750176,0.1048810459038371,0.12393232843337904,0.1991199284349098
n_neighbors,1.0,22119,0.04541926873239254,0.10596620966592658,0.12000034646337504,0.1999984239305187
n_neighbors,0.95,21014,0.044036700176240756,0.10346006446835711,0.11997693721004386,0.19233325447093022
n_neighbors,0.9,19908,0.04180942639074849,0.09912957315779067,0.1100000000000001,0.1816701400466662
n_neighbors,0.8,17696,0.03828434546266857,0.09197009487928919,0.10116867962442175,0.16993349671688884
n_neighbors,0.7,15484,0.035303866470725725,0.085303646886883,0.09731392684353105,0.1598944268645703
n_neighbors,0.5,11060,0.03072055286758193,0.07527658471023281,0.08019061613876242,0.14000021623436548
neighborhood_compactness,1.0,21998,0.04513041208708931,0.10543977034843063,0.12,0.19979562334812295
neighborhood_compactness,0.95,20899,0.04307799962807393,0.10209998121884471,0.11666014448457912,0.18999842300334746
neighborhood_compactness,0.9,19799,0.041071353230507604,0.09847259067342795,0.10999998770360854,0.18000324544984092
neighborhood_compactness,0.8,17599,0.03780341473473132,0.09052958504179393,0.09999999999999998,0.16999999999746415
neighborhood_compactness,0.7,15399,0.0368225469290366,0.08951688700346723,0.09999697640562358,0.16947317468180897
neighborhood_compactness,0.5,10999,0.03747547454572258,0.09081896972673173,0.10054941041547354,0.17091793165008057
cct_weighted_std,1.0,21998,0.04513041208708931,0.10543977034843063,0.12,0.19979562334812295
cct_weighted_std,0.95,20899,0.039305492944106867,0.09405897309470859,0.1070661460041118,0.1699999999999994
cct_weighted_std,0.9,19799,0.03670610816493353,0.09029846885458385,0.09999734200114749,0.15999999902301032
cct_weighted_std,0.8,17599,0.03377527997069739,0.08504647913075833,0.08999999999986613,0.14999824409768048
cct_weighted_std,0.7,15399,0.03294905794027307,0.08483577688545575,0.08999987895065995,0.14996380521699607
cct_weighted_std,0.5,10999,0.032663061466804116,0.08874264628368372,0.08999999244482393,0.14999996927273432
distance_min,1.0,22119,0.04541926873239255,0.1059662096659266,0.12000034646337504,0.1999984239305187
distance_min,0.95,21014,0.04410726808176772,0.10283470636094355,0.11999933953896075,0.19430888283855613
distance_min,0.9,19908,0.04237328942658243,0.09866232070514618,0.11220170868001228,0.18998889924607615
distance_min,0.8,17696,0.038509278803765735,0.09114160603791133,0.10744037466667306,0.17288927636937784
distance_min,0.7,15484,0.03611060423278026,0.08826736019727408,0.09999928449733142,0.16703016178426922
distance_min,0.5,11060,0.03114535690002808,0.08182650312635145,0.08000000360128047,0.14000387208843076
distance_mean,1.0,22119,0.04541926873239255,0.10596620966592658,0.12000034646337504,0.1999984239305187
distance_mean,0.95,21014,0.044644848974095104,0.10395197560818543,0.11999999999999893,0.19965206174050587
distance_mean,0.9,19908,0.044160879819085536,0.1021868478855062,0.11999999123186768,0.19882909222798176
distance_mean,0.8,17696,0.0428544192443443,0.09896190558165148,0.11913198117313889,0.18999999999999984
distance_mean,0.7,15484,0.040797121958380526,0.09429849753515401,0.10999999999999996,0.18703740044864509
distance_mean,0.5,11060,0.039515124249515046,0.0932770173283292,0.10998790996392452,0.1799998630168724
distance_median,1.0,22119,0.04541926873239255,0.1059662096659266,0.12000034646337504,0.1999984239305187
distance_median,0.95,21014,0.04453353692755202,0.10357919147491887,0.1199999999997293,0.19942401730582598
distance_median,0.9,19908,0.044319664917074626,0.10253900257213333,0.11999999983320186,0.19882909228999807
distance_median,0.8,17696,0.04277884803346428,0.09909550023140515,0.11810658033185656,0.18999999667308148
distance_median,0.7,15484,0.04119552479246949,0.09514031282401077,0.11000031203238701,0.1896356036960724
distance_median,0.5,11060,0.04051842067979664,0.09478037426842781,0.1099999471157581,0.18333135074415755
distance_spread,1.0,22119,0.04541926873239255,0.1059662096659266,0.12000034646337504,0.1999984239305187
distance_spread,0.95,21014,0.04604301846992278,0.10665455731560275,0.12330777185261545,0.1999999999999822
distance_spread,0.9,19908,0.04700054944171571,0.10787284467876164,0.126652000190402,0.20211908037288936
distance_spread,0.8,17696,0.04935673584955292,0.11110932028859667,0.13000005130448247,0.21014941916610275
distance_spread,0.7,15484,0.05192246553275496,0.11415686197586676,0.13731745611559884,0.21999994763492464
distance_spread,0.5,11060,0.05947214795682366,0.12547709684971192,0.15824333875307506,0.24986448583799573
distance_norm,1.0,22119,0.04541926873239255,0.10596620966592661,0.12000034646337504,0.1999984239305187
distance_norm,0.95,21014,0.04306273295469747,0.10160472529809071,0.11922816392991048,0.18999999999999986
distance_norm,0.9,19908,0.040746531311450666,0.09608438167356474,0.10999999999935817,0.18000332642976336
distance_norm,0.8,17696,0.03711040023275302,0.08943000189993268,0.09999999999999998,0.16992934452876685
distance_norm,0.7,15484,0.03486687048749383,0.08696089343033096,0.09150348458181666,0.15999996281585976
distance_norm,0.5,11060,0.0310954565039416,0.08353096192493983,0.07999999999998125,0.13999999999993007
