metric,coverage,n,mae,rmse,q90,q95
location_weight_mass,1.0,21932,0.04537879013084971,0.10580608766622936,0.12000109744278065,0.19999999991733117
location_weight_mass,0.95,20836,0.04302764342124652,0.10193670269613576,0.11991316589657297,0.19534180622419975
location_weight_mass,0.9,19739,0.041579102055944527,0.0997065525754957,0.11069346857445238,0.18999996686985557
location_weight_mass,0.8,17546,0.041094996474216564,0.1002464279218336,0.11001894477134971,0.18999831012582225
location_weight_mass,0.7,15353,0.03947664849869963,0.09820554737257006,0.10996526960537745,0.18054168769887627
location_weight_mass,0.5,10966,0.0399559080110106,0.10026000236377978,0.10997232018695435,0.19
n_eff,1.0,21932,0.045378790130849694,0.10580608766622936,0.12000109744278065,0.19999999991733117
n_eff,0.95,20836,0.04464425154299271,0.10436480317885692,0.11999999999952374,0.19999982785984202
n_eff,0.9,19739,0.04443576803043957,0.10346753317944837,0.11999999993143592,0.19999908838351807
n_eff,0.8,17546,0.04375000779135702,0.1029489043800843,0.11997479761467811,0.19977497951346618
n_eff,0.7,15353,0.0429876850081638,0.10050004414120946,0.11849288621974768,0.19463696313894893
n_eff,0.5,10966,0.04306401111973781,0.1006572306677613,0.1192221183796982,0.19166707315672138
n_neighbors,1.0,21932,0.0453787901308497,0.10580608766622936,0.12000109744278065,0.19999999991733117
n_neighbors,0.95,20836,0.043359619424436044,0.1016005386558428,0.1199317007179799,0.19715180966837637
n_neighbors,0.9,19739,0.04121597795054954,0.09744728312833774,0.10999999964095658,0.18712554676096416
n_neighbors,0.8,17546,0.03831318192176204,0.09236467647080435,0.10104944090077092,0.1699993677845332
n_neighbors,0.7,15353,0.03527984658040668,0.08573680134280358,0.09890986888773143,0.15999947724905927
n_neighbors,0.5,10966,0.030501832043789683,0.07872871265147596,0.07999731265326249,0.13999975055955793
neighborhood_compactness,1.0,21840,0.045254012140558415,0.10573451553223154,0.12000000015922778,0.1999999996071552
neighborhood_compactness,0.95,20748,0.041840872808743976,0.09898125266714185,0.1100010068772714,0.1899657634187676
neighborhood_compactness,0.9,19656,0.040505389708092684,0.09673693450627555,0.10999967033708252,0.18000189734095706
neighborhood_compactness,0.8,17472,0.03879594120092024,0.09372282019197611,0.10938736736252466,0.17994885283827344
neighborhood_compactness,0.7,15288,0.03761495293270393,0.09248082901386179,0.10201466715623153,0.1700043135396182
neighborhood_compactness,0.5,10920,0.03659167954118562,0.0918583369456835,0.10030866716588313,0.1697825283137151
cct_weighted_std,1.0,21840,0.04525401214055841,0.10573451553223154,0.12000000015922778,0.1999999996071552
cct_weighted_std,0.95,20748,0.039459539572244386,0.09256666837690927,0.10999217514918458,0.17996883943220568
cct_weighted_std,0.9,19656,0.03709305903829313,0.089633812988222,0.09999999999999998,0.1699732005040469
cct_weighted_std,0.8,17472,0.03432592695848284,0.08642293101001666,0.0900000008995944,0.15999937655493066
cct_weighted_std,0.7,15288,0.03405254096114013,0.08660572391102055,0.09000000004473883,0.15999990978254452
cct_weighted_std,0.5,10920,0.03179951259089541,0.08536458777730657,0.08999996627956813,0.14999999896250457
distance_min,1.0,21932,0.0453787901308497,0.10580608766622936,0.12000109744278065,0.19999999991733117
distance_min,0.95,20836,0.043783226112124395,0.10167274339767106,0.11997479761467811,0.19877400609929882
distance_min,0.9,19739,0.042602150003402395,0.09945520329576386,0.11945879947593653,0.19138781772493563
distance_min,0.8,17546,0.03930682643914307,0.09303037335931255,0.10999993342478251,0.180064735834207
distance_min,0.7,15353,0.03546115424817668,0.0873276345939795,0.09999933486944723,0.16869226840778315
distance_min,0.5,10966,0.028094466387572715,0.07545882631484713,0.07249463172640977,0.1363012339743693
distance_mean,1.0,21932,0.0453787901308497,0.10580608766622936,0.12000109744278065,0.19999999991733117
distance_mean,0.95,20836,0.044340650875197264,0.10376568903158134,0.11999728049285585,0.19995907675801033
distance_mean,0.9,19739,0.043138466410036116,0.10048775993859123,0.11964251157331039,0.19565427998666549
distance_mean,0.8,17546,0.04253883834433211,0.09911227637671233,0.1195468341857327,0.1941424096619811
distance_mean,0.7,15353,0.040770409888864795,0.09478352393083228,0.11131576902493268,0.1899759447877133
distance_mean,0.5,10966,0.03861530791729237,0.09246255976162893,0.10999993342478248,0.18751689489143017
distance_median,1.0,21932,0.045378790130849694,0.10580608766622936,0.12000109744278065,0.19999999991733117
distance_median,0.95,20836,0.04437295142472537,0.10394969679730444,0.11999696960689132,0.19996650040566996
distance_median,0.9,19739,0.043198669891894456,0.10001547240975932,0.11986652582362912,0.1968595931620435
distance_median,0.8,17546,0.04205577107092031,0.09788487770964661,0.11600637109982326,0.19000002936328902
distance_median,0.7,15353,0.04147861909438722,0.09615089730743506,0.1174653406619704,0.19000000006235926
distance_median,0.5,10966,0.04103224459875087,0.0977833692687104,0.11882600471488583,0.1995652135621946
distance_spread,1.0,21932,0.045378790130849694,0.10580608766622936,0.12000109744278065,0.19999999991733117
distance_spread,0.95,20836,0.045485092321253195,0.10630941213141382,0.12047181282349927,0.1999999996558514
distance_spread,0.9,19739,0.0463173924110997,0.10680639520612104,0.12644515593291789,0.20291102765215313
distance_spread,0.8,17546,0.04917101615193922,0.11123428679234616,0.1317275065422395,0.2162448146409195
distance_spread,0.7,15353,0.052362712099341964,0.11555934259379184,0.13999999922943235,0.2283947443822604
distance_spread,0.5,10966,0.060525623960505995,0.12655755858637666,0.16060213725764494,0.24999888627361408
distance_norm,1.0,21932,0.0453787901308497,0.10580608766622936,0.12000109744278065,0.19999999991733117
distance_norm,0.95,20836,0.043101814237939046,0.10142919249815058,0.11994502599041104,0.19215007367616666
distance_norm,0.9,19739,0.04103823172660505,0.09775028694894422,0.11000210323580523,0.18729840467555256
distance_norm,0.8,17546,0.03798654049715017,0.09280554144815087,0.10971021691495333,0.17168324816962904
distance_norm,0.7,15353,0.03429124408499996,0.08608112965993266,0.09403295618670998,0.15999916115215185
distance_norm,0.5,10966,0.02791104940658192,0.07483501604062824,0.07061343325386041,0.1299999999999395
