method,referral_load,recall,at,recall_diff_retrieval_minus_model,diff_ci_low_state,diff_ci_high_state,diff_ci_low_group,diff_ci_high_group
retrieval,0.8008194855451856,0.9682481751824817,tau=200ms,,,,,
hist_gradient_boosting,0.8008194855451856,0.9642335766423358,cross-fitted to retrieval load,0.004014598540145964,-0.005878572713539279,0.013456885589694123,-0.007405191879795212,0.016023452559576715
hist_gradient_boosting,0.5636239471887093,0.8054744525547445,tau=200ms,,,,,
random_forest,0.8003642157978602,0.9251824817518248,cross-fitted to retrieval load,0.043065693430656915,0.031929849126614646,0.05426435867055282,0.029355441144478002,0.05849508480233824
random_forest,0.0,0.0,tau=200ms,,,,,
location_median,0.0,0.0,cross-fitted to retrieval load,0.9682481751824817,0.9618879445153732,0.9747111084222766,0.9604028995994274,0.976615747511203
location_median,0.9790575916230366,0.9996350364963503,tau=200ms,,,,,
retrieval_abstention_floor,0.42704302299112223,,forced,,,,,
perfect_screen_floor,0.6237195538356476,,share genuinely unsafe,,,,,
n_states,4393.0,2740.0,unsafe count,,,,,
